Network;admissibility_2;avg_degree;degen_lower;degen_upper;max_degree;memory;memoryLoad;min_degree;num_edges;num_vertices
as-skitter;=365;=13.080877304077148;=111;=111;=35455;=1090595.1;=308145.47;=1;=11095298;=1696415
as20000102;=21;=3.883843183517456;=12;=12;=1458;=2692.7334;=826.55273;=1;=12572;=6474
autobahn;=3;=2.55614972114563;=2;=2;=5;=161.48145;=126.98047;=1;=478;=374
bahamas;=8;=2.240475654602051;=6;=6;=14902;=84164.58;=22366.355;=1;=246291;=219856
bergen;=12;=10.264150619506836;=9;=9;=32;=91.24414;=91.24414;=1;=272;=53
bitcoin-otc-negative;=21;=4.058530330657959;=16;=16;=227;=695.4424;=270.60352;=1;=3259;=1606
bitcoin-otc-positive;=50;=6.671810626983643;=20;=20;=788;=2973.3877;=889.74414;=1;=18591;=5573
bn-fly-drosophila_medulla_1;=44;=10.00673770904541;=18;=18;=927;=1008.6992;=360.60645;=1;=8911;=1781
bn-mouse_retina_1;=223;=168.79368591308594;=121;=121;=744;=5630.1777;=1957.9014;=1;=90811;=1076
boards_gender_1m;=25;=9.67247200012207;=25;=25;=88;=2885.0635;=952.18945;=1;=19993;=4134
boards_gender_2m;=7;=2.653080463409424;=4;=4;=45;=2534.6885;=809.88477;=1;=5598;=4220
ca-CondMat;=30;=8.078415870666504;=25;=25;=279;=12682.726;=3535.7676;=1;=93439;=23133
ca-GrQc;=43;=5.527189254760742;=43;=43;=81;=2732.293;=872.8838;=1;=14484;=5241
ca-HepPh;=238;=19.738298416137695;=131;=135;=491;=10104.79;=2996.3008;=1;=118489;=12006
capitalist;=21;=15.410072326660156;=19;=19;=91;=120.706055;=114.86133;=1;=1071;=139
celegans;=21;=14.464646339416504;=10;=10;=134;=239.55566;=146.60156;=1;=2148;=297
chess;=88;=15.31269645690918;=29;=29;=181;=6781.287;=2210.8662;=1;=55899;=7301
chicago;=1;=1.7695977687835693;=1;=1;=12;=639.1367;=260.2412;=1;=1298;=1467
cit-HepPh;=89;=24.366178512573242;=30;=30;=846;=37981.65;=10494.856;=1;=420877;=34546
cit-HepTh;=128;=25.37253761291504;=37;=37;=2468;=27419.545;=7700.2354;=1;=352285;=27769
codeminer;=5;=2.8038673400878906;=4;=4;=55;=324.9629;=171.78613;=1;=1015;=724
columbia-mobility;=9;=9.610660552978516;=9;=9;=228;=441.43555;=211.36816;=1;=4147;=863
columbia-social;=19;=17.900346755981445;=18;=18;=545;=616.0547;=267.88965;=1;=7724;=863
cora_citation;=30;=7.697228908538818;=13;=13;=377;=12701.123;=3480.6182;=1;=89157;=23166
countries;=16;=2.107991933822632;=6;=6;=110602;=325340.25;=92037.16;=1;=624402;=592414
cpan-authors;=17;=5.034564971923828;=9;=9;=327;=361.73535;=184.44922;=1;=2112;=839
deezer;=60;=18.25818634033203;=21;=21;=420;=43563.945;=12043.826;=1;=498202;=54573
digg;=46;=5.678794860839844;=8;=8;=285;=21257.371;=6488.164;=1;=86312;=30398
diseasome;=11;=3.859055757522583;=11;=11;=84;=662.7246;=267.05957;=1;=2738;=1419
dogster_friendships;=1016;=40.047706604003906;=131;=135;=46505;=624314.94;=194447.22;=1;=8546581;=426820
dolphins;=6;=5.129032135009766;=4;=4;=12;=94.85156;=94.85156;=1;=159;=62
dutch-textiles;=5;=3.75;=5;=5;=31;=88.75195;=88.75195;=1;=90;=48
ecoli-transcript;=5;=2.732860565185547;=3;=3;=74;=165.19629;=127.62891;=1;=578;=423
edinburgh_associative_thesaurus;=197;=25.686840057373047;=34;=34;=1062;=24529.887;=6780.4443;=1;=297094;=23132
email-Enron;=145;=10.020222663879395;=43;=43;=1383;=24888.594;=7480.8145;=1;=183831;=36692
escorts;=45;=4.667543411254883;=11;=11;=305;=10530.043;=3208.1396;=1;=39044;=16730
euroroad;=3;=2.4139692783355713;=2;=2;=10;=625.6338;=258.8164;=1;=1417;=1174
eva-corporate;=4;=1.8505445718765259;=3;=3;=552;=4950.1074;=1432.2334;=1;=6711;=7253
exnet-water;=3;=2.5525619983673096;=2;=2;=10;=1231.9844;=433.43066;=1;=2416;=1893
facebook-links;=191;=25.64183807373047;=52;=52;=1098;=74939.01;=20580.541;=1;=817090;=63731
foldoc;=36;=13.697364807128906;=12;=12;=728;=9015.706;=2506.9004;=3;=91471;=13356
foodweb-caribbean;=23;=13.467479705810547;=13;=13;=196;=397.60352;=201.49707;=1;=3313;=492
foodweb-otago;=23;=11.80141830444336;=14;=14;=45;=113.572266;=112.899414;=1;=832;=141
football;=11;=10.660869598388672;=8;=8;=12;=107.99609;=107.99609;=7;=613;=115
google+;=38;=3.317589282989502;=12;=12;=2761;=10679.875;=3099.6377;=1;=39194;=23628
gowalla;=202;=9.668062210083008;=51;=51;=14730;=116517.97;=31640.438;=1;=950327;=196591
haggle;=40;=15.503649711608887;=39;=39;=101;=239.14355;=148.30273;=1;=2124;=274
hex;=4;=5.619335174560547;=3;=3;=6;=167.64063;=130.15137;=3;=930;=331
